run,c8_over_f4_TeV4,c6_over_f2_TeV2,f_peak_no_daisy_mHz,f_peak_with_daisy_mHz,f_peak_relative_difference,omega_peak_no_daisy,omega_peak_with_daisy,omega_peak_relative_difference
run05,2.0,3.3313131313131312,1.7219876207698608,1.326179066819292,-0.22985563262853878,7.8896763213789e-14,1.0109277044683275e-13,0.2813297571270262
run05,2.0,3.3353535353535357,4.820246238000243,7.760831545860945,0.6100487739980379,1.0352774151113927e-14,3.126006824790119e-15,-0.6980512875909912
run05,2.0,3.33939393939394,4.197775250242678,4.820246238000243,0.14828592543671287,1.4177736882563512e-14,8.271473579737781e-15,-0.4165871712635285
run05,2.0,3.3434343434343434,5.6207140693079705,9.623198249142844,0.7120953192923518,8.238934347554447e-15,2.207665730789838e-15,-0.7320447478204342
run05,2.0,3.3474747474747475,5.535020912234942,5.535020912234942,0.0,9.010581789515087e-15,6.781937248101622e-15,-0.2473363644517123
run05,2.0,3.351515151515152,4.74675697793289,4.820246238000243,0.015481993371262897,1.2761500515394704e-14,9.471320732147931e-15,-0.25782076169473167
run05,2.0,3.355555555555556,3.385384540676955,4.970655653643069,0.46826914163468036,2.585504426995274e-14,9.337726075657304e-15,-0.638843160423087
run05,2.0,3.35959595959596,1.5703507413474107,4.74675697793289,2.0227368020089718,1.2740092547920553e-13,1.0520954962413156e-14,-0.9174185358321404
run05,2.0,3.3636363636363638,5.125758396389326,4.603122618001695,-0.10196262444905417,1.230198648401425e-14,1.1649691306668643e-14,-0.05302356478713648
run05,2.0,3.367676767676768,4.133776155209441,2.5674850488811827,-0.37890080341055643,2.020557046864781e-14,4.040774211100551e-14,0.9998317876599732
run05,2.0,3.3717171717171714,4.674388131860708,5.6207140693079705,0.202449157141464,1.659641408814481e-14,8.609802309816692e-15,-0.48122514513741455
run05,2.0,3.3757575757575755,4.070752787536743,5.885836223762919,0.44588397551021575,2.2484143972745513e-14,8.284322140613191e-15,-0.6315482523748668
run05,2.0,3.37979797979798,5.535020912234942,6.758622895172531,0.22106546702160879,1.2712997585126686e-14,6.660097660256985e-15,-0.4761190179058296
run05,5.0,2.8,19.21187009332636,20.74582813044975,0.07984428531276813,8.3651514019344e-17,5.645518849939286e-17,-0.32511456413881673
run05,5.0,2.804040404040404,18.34648882945646,20.74582813044975,0.13077920921528013,9.388270189920987e-17,5.795969724328102e-17,-0.382637098519969
run05,5.0,2.808080808080808,18.63052904790005,20.118070324728365,0.07984428531276637,9.29908921772202e-17,6.21608466890256e-17,-0.3315383341998624
run05,5.0,2.812121212121212,20.42953815613841,18.34648882945646,-0.10196262444905342,7.974137680056664e-17,7.629337048331857e-17,-0.04323986436641965
run05,5.0,2.816161616161616,19.81135111804306,19.21187009332636,-0.030259472014037718,8.467448194719206e-17,7.089050977045797e-17,-0.162787794619524
run05,5.0,2.82020202020202,18.06677907556844,18.06677907556844,0.0,1.0555662836202631e-16,8.314022574204903e-17,-0.21236376121351674
