run,Lambda_GeV,C,f_peak_no_daisy_mHz,f_peak_with_daisy_mHz,f_peak_relative_difference,omega_peak_no_daisy,omega_peak_with_daisy,omega_peak_relative_difference
run03,2000.0,6.446363636363637,21.06701490404673,20.118070324728365,-0.04504409303551039,1.9722918931509518e-16,1.841788754929661e-16,-0.06616826782814474
run03,2000.0,6.454848484848485,18.918966775122765,19.21187009332636,0.015481993371263013,2.582537142455198e-16,2.1285680671206468e-16,-0.17578414183153485
run03,2000.0,6.463333333333334,18.06677907556844,18.06677907556844,0.0,2.977012285872842e-16,2.4954812523069007e-16,-0.16174976363080718
run03,2000.0,6.467575757575758,18.34648882945646,18.06677907556844,-0.015245955587912221,2.9081107230323363e-16,2.5703447085318087e-16,-0.11614620166467846
run03,2000.0,6.471818181818183,17.520087879747475,18.34648882945646,0.047168767381827646,3.332432752366029e-16,2.5875375116263363e-16,-0.22352896400109404
run03,2000.0,6.476060606060607,15.97728268112228,18.918966775122765,0.1841166706949605,4.0738707163421183e-16,2.537783375787325e-16,-0.37705844085647083
run03,2000.0,6.497272727272728,15.733693738950372,16.22464286568221,0.03120367886127357,4.98459470121163e-16,3.9472442913303277e-16,-0.20811128528246212
run03,2000.0,6.501515151515152,15.25760047357916,16.22464286568221,0.0633810272970268,5.343091707270792e-16,4.139144662292295e-16,-0.22532778977762744
run03,2000.0,6.505757575757576,15.49381854297249,16.22464286568221,0.04716876738182786,5.388052494244936e-16,4.185807046909735e-16,-0.22313172498214112
run03,2000.0,6.510000000000001,14.79591353904755,15.25760047357916,0.031203678861273586,6.169256670670503e-16,4.987996535601571e-16,-0.19147527783773463
run03,2000.0,6.514242424242425,14.348197007390617,15.25760047357916,0.06338102729702681,6.703522647671482e-16,5.15940507554684e-16,-0.23034420159093558
run03,2000.0,6.522727272727273,14.570335698348613,14.129445033049324,-0.030259472014035962,7.000132437308272e-16,6.330216598774546e-16,-0.09570045203192273
run03,2000.0,6.531212121212121,13.084706031441256,13.701895486497882,0.04716876738182589,9.122747665417597e-16,7.233487113375795e-16,-0.20709336938076106
run03,2000.0,6.535454545454546,13.701895486497882,13.701895486497882,0.0,8.7819962781243e-16,7.485804716473841e-16,-0.14759645991643547
run03,2000.0,6.53969696969697,13.914028141593606,13.49299699644052,-0.030259472014037867,8.635527931181375e-16,8.028037106396829e-16,-0.07034785014023322
run03,2000.0,6.543939393939394,12.885217184405017,12.30481426276792,-0.04504409303551039,1.0406296048030897e-15,9.78556275340904e-16,-0.0596497823775937
run03,2000.0,6.548181818181819,12.885217184405017,11.571406623687016,-0.10196262444905513,1.0790781225397488e-15,1.1700976806796769e-15,0.08434936844581913
run03,2000.0,6.552424242424243,11.93247707994576,12.495317315618712,0.04716876738182759,1.3054091278718109e-15,1.026565190058847e-15,-0.21360654821493322
run03,2000.0,6.556666666666667,11.93247707994576,11.93247707994576,0.0,1.3625899090114048e-15,1.180009310061462e-15,-0.13399526720582408
run03,2000.0,6.560909090909092,11.22126196879453,13.084706031441256,0.16606368052263834,1.6206901664494689e-15,1.0211891975600557e-15,-0.3699047364511204
